Amber Massey,1,1,100.000000000000
Arthur French,1,1,100.000000000000
Bradley David,1,1,100.000000000000
Brianna Ortega,2,2,100.000000000000
Joshua Patton,4,4,100.000000000000
Jermaine David,1,1,100.000000000000
Julian Mckenzie,1,1,100.000000000000
Dr. Ashley Moses DDS,1,1,100.000000000000
Ms. Terry Adams,1,1,100.000000000000
Martin Meyer,1,1,100.000000000000
Mr. Brian Martinez,2,2,100.000000000000
Vincent Rice,2,2,100.000000000000
Mr. Connor Hopkins,1,1,100.000000000000
Kathleen Sharp,1,1,100.000000000000
Julie Mack DDS,1,1,100.000000000000
Barbara Nolan,1,1,100.000000000000
Karina Diaz,1,1,100.000000000000
Sheena Clay,1,1,100.000000000000
Briana Cowan,1,1,100.000000000000
Carla Boyd,2,2,100.000000000000
Tanner Hines,1,1,100.000000000000
Gary Cisneros,1,1,100.000000000000
Amanda Hahn,1,1,100.000000000000
Candice Williams,2,2,100.000000000000
Ruben Jacobson,1,1,100.000000000000
Caitlyn Quinn,1,1,100.000000000000
Leah Carrillo,1,1,100.000000000000
Matthew Carr PhD,1,1,100.000000000000
Miss Ana Welch DDS,1,1,100.000000000000
Evan Horton,1,1,100.000000000000
Shelley Benson,1,1,100.000000000000
Stacy Reyes,1,1,100.000000000000
Valerie Huffman MD,1,1,100.000000000000
Gail Ramsey,2,2,100.000000000000
Alexander Smith MD,1,1,100.000000000000
Tom Frazier,1,1,100.000000000000
Nicole Olson MD,1,1,100.000000000000
Lydia Riley,1,1,100.000000000000
Leah Pope,1,1,100.000000000000
Marissa Nunez,1,1,100.000000000000
Rebecca Bruce,3,3,100.000000000000
Shawn Cowan,1,1,100.000000000000
Mr. Dakota Hawkins,1,1,100.000000000000
Faith Hunt,1,1,100.000000000000
Darin Pierce,1,1,100.000000000000
Mr. Matthew Barry,1,1,100.000000000000
Whitney Alvarado,1,1,100.000000000000
Tammie Jordan,1,1,100.000000000000
Paul Tapia,1,1,100.000000000000
Kathryn Vega,2,2,100.000000000000
Crystal Carney,1,1,100.000000000000
Theodore Todd,1,1,100.000000000000
Brett Novak,1,1,100.000000000000
Tammie Watson,1,1,100.000000000000
Karl Mitchell,1,1,100.000000000000
Dr. Eric Kelley,1,1,100.000000000000
Grace Chapman,1,1,100.000000000000
Sergio Kent,1,1,100.000000000000
Darryl Baker,1,1,100.000000000000
Wendy Adkins,1,1,100.000000000000
Mrs. Betty Moore,1,1,100.000000000000
Laura Mcmahon,3,3,100.000000000000
Kimberly Watson MD,1,1,100.000000000000
Melody Henderson,1,1,100.000000000000
Jerome Bass,1,1,100.000000000000
Tami Stewart,1,1,100.000000000000
Perry Thomas,1,1,100.000000000000
Yolanda Pacheco,2,2,100.000000000000
Gabriel Aguilar,2,2,100.000000000000
Karina Robinson,1,1,100.000000000000
Laurie Gillespie,1,1,100.000000000000
Lindsay Kemp,1,1,100.000000000000
Stephen Wilcox,3,3,100.000000000000
Nancy Blackwell,1,1,100.000000000000
Katelyn Jarvis,1,1,100.000000000000
Gabrielle Conley,1,1,100.000000000000
Meagan Humphrey,1,1,100.000000000000
Shari Chandler,1,1,100.000000000000
Marvin Russell,1,1,100.000000000000
April Briggs,1,1,100.000000000000
Shari Suarez,1,1,100.000000000000
Alexander Berger,1,1,100.000000000000
Warren Mccormick,1,1,100.000000000000
Mrs. Jamie Cross,1,1,100.000000000000
Sabrina Ramsey,1,1,100.000000000000
Jordan Garrison,1,1,100.000000000000
Howard Hendrix,1,1,100.000000000000
Hannah Adkins,1,1,100.000000000000
Dr. Amy Copeland MD,1,1,100.000000000000
Adam Whitney,1,1,100.000000000000
Angel Cohen,1,1,100.000000000000
Lindsey Obrien,1,1,100.000000000000
Latoya Mitchell,1,1,100.000000000000
Beth Bowers,1,1,100.000000000000
Debbie Conrad,1,1,100.000000000000
Laura Page,1,1,100.000000000000
Dominique Daniels,1,1,100.000000000000
James Lindsey Jr.,1,1,100.000000000000
Sydney Pierce MD,1,1,100.000000000000
Shirley Howell,1,1,100.000000000000
Kari Nicholson,1,1,100.000000000000
Jeremy Greer,3,3,100.000000000000
Scott Bernard,1,1,100.000000000000
Bridget Snow,1,1,100.000000000000
Mr. James Spears,1,1,100.000000000000
Shannon Skinner DDS,1,1,100.000000000000
Derek Clayton,1,1,100.000000000000
Jesus Ellis,1,1,100.000000000000
Meghan Miranda,1,1,100.000000000000
Edward Warren,1,1,100.000000000000
Miguel Lynch,1,1,100.000000000000
Jesse Foley,1,1,100.000000000000
Catherine Lam,1,1,100.000000000000
Marcus Drake,1,1,100.000000000000
Shelly Rojas,1,1,100.000000000000
Mrs. Brittney Avila,1,1,100.000000000000
Patricia Orozco,2,2,100.000000000000
Steven Mccann DVM,1,1,100.000000000000
Ronnie Barr,2,2,100.000000000000
Parker Waller,1,1,100.000000000000
